EPOCH,Random,Hopfield POMDP,DQN,Theta-Omega
339,16,12,,500
340,13,14,,500
341,25,13,,500
342,42,25,,500
343,24,22,,500
344,11,23,,500
345,25,19,,500
346,18,12,,500
347,38,19,,500
348,21,10,,500
349,22,13,,500
350,11,11,,500
351,16,30,,500
352,14,31,,500
353,31,16,,500
354,22,55,,500
355,40,22,,500
356,16,20,,500
357,9,13,,500
358,11,22,,500
359,10,29,,500
360,15,21,,500
361,13,25,,500
362,15,27,,500
363,14,12,,500
364,31,11,,500
365,16,22,,500
366,27,17,,500
367,13,9,,500
368,12,27,,500
369,21,27,,500
370,21,24,,500
371,15,13,,500
372,44,17,,500
373,28,11,,500
374,18,17,,500
375,28,16,,500
376,11,32,,500
377,23,11,,500
378,10,21,,500
379,64,13,,500
380,39,25,,500
381,17,14,,500
382,10,23,,500
383,27,10,,500
384,17,16,,500
385,14,23,,500
386,49,35,,500
387,35,15,,500
388,20,37,,500
389,27,39,,500
390,45,28,,500
391,33,19,,500
392,11,22,,500
393,20,12,,500
394,16,42,,500
395,14,12,,500
396,24,13,,500
397,18,12,,500
398,19,23,,500
399,16,26,,500
400,22,20,,500
401,30,14,,500
402,14,16,,500
403,12,14,,500
404,13,12,,500
405,12,14,,500
406,17,21,,500
407,22,33,,500
408,28,44,,500
409,10,12,,500
410,32,14,,500
411,16,28,,500
412,14,13,,500
413,45,19,,500
414,41,17,,500
415,21,13,,500
416,39,16,,500
417,15,12,,500
418,45,14,,500
419,13,16,,500
420,39,26,,500
421,10,16,,500
422,14,23,,500
423,9,17,,500
424,24,16,,500
425,19,26,,500
426,14,12,,500
427,37,13,,500
428,15,28,,500
429,9,21,,500
430,9,10,,500
431,11,41,,500
432,12,13,,500
433,14,27,,500
434,18,24,,500
435,26,16,,500
436,14,32,,500
437,17,17,,500
438,23,29,,500
439,14,20,,500
440,26,16,,500
441,57,19,,500
442,10,43,,500
443,18,25,,500
444,15,18,,500
445,14,19,,500
446,29,9,,500
447,17,21,,500
448,21,58,,500
449,26,12,,500
450,17,16,,500
451,15,16,,500
452,43,12,,500
453,19,21,,500
454,15,15,,500
455,23,10,,500
456,10,26,,500
457,15,31,,500
458,51,13,,500
459,11,30,,500
460,15,22,,500
461,29,13,,500
462,26,16,,500
463,18,32,,500
464,24,17,,500
465,13,17,,500
466,22,20,,500
467,24,27,,500
468,20,12,,500
469,19,32,,500
470,21,27,,500
471,16,21,,500
472,18,57,,500
473,11,26,,500
474,17,21,,500
475,16,19,,500
476,12,21,,500
477,50,16,,500
478,22,26,,500
479,13,25,,500
480,40,21,,500
481,23,26,,500
482,21,16,,500
483,15,12,,500
484,41,31,,500
485,12,19,,500
486,25,37,,500
487,13,56,,500
488,13,12,,500
489,11,14,,500
490,12,32,,500
491,13,16,,500
492,49,41,,500
493,24,10,,500
494,40,24,,500
495,17,26,,500
496,24,37,,500
497,56,36,,500
498,13,46,,500
499,24,29,,500
